
======================================================================
hard n=50
======================================================================
Timestamp: 20260628_094210
Mode: Big-M
Objectives (50): ['o_1', 'o_2', 'o_3', 'o_4', 'o_5', 'o_6', 'o_7', 'o_8', 'o_9', 'o_10', 'o_11', 'o_12', 'o_13', 'o_14', 'o_15', 'o_16', 'o_17', 'o_18', 'o_19', 'o_20', 'o_21', 'o_22', 'o_23', 'o_24', 'o_25', 'o_26', 'o_27', 'o_28', 'o_29', 'o_30', 'o_31', 'o_32', 'o_33', 'o_34', 'o_35', 'o_36', 'o_37', 'o_38', 'o_39', 'o_40', 'o_41', 'o_42', 'o_43', 'o_44', 'o_45', 'o_46', 'o_47', 'o_48', 'o_49', 'o_50']
Plans: ['pi_1', 'pi_2', 'pi_3', 'pi_4', 'pi_5', 'pi_6', 'pi_7', 'pi_8', 'pi_9', 'pi_10', 'pi_11', 'pi_12', 'pi_13', 'pi_14', 'pi_15', 'pi_16', 'pi_17', 'pi_18', 'pi_19', 'pi_20', 'pi_21', 'pi_22', 'pi_23', 'pi_24', 'pi_25', 'pi_26', 'pi_27', 'pi_28', 'pi_29', 'pi_30', 'pi_31', 'pi_32', 'pi_33', 'pi_34', 'pi_35', 'pi_36', 'pi_37', 'pi_38', 'pi_39', 'pi_40', 'pi_41', 'pi_42', 'pi_43', 'pi_44', 'pi_45', 'pi_46', 'pi_47', 'pi_48', 'pi_49', 'pi_50', 'pi_51', 'pi_52', 'pi_53', 'pi_54', 'pi_55', 'pi_56', 'pi_57', 'pi_58', 'pi_59', 'pi_60', 'pi_61', 'pi_62', 'pi_63', 'pi_64', 'pi_65', 'pi_66', 'pi_67', 'pi_68', 'pi_69', 'pi_70', 'pi_71', 'pi_72', 'pi_73', 'pi_74', 'pi_75', 'pi_76', 'pi_77', 'pi_78', 'pi_79', 'pi_80', 'pi_81', 'pi_82', 'pi_83', 'pi_84', 'pi_85', 'pi_86', 'pi_87', 'pi_88', 'pi_89', 'pi_90', 'pi_91', 'pi_92', 'pi_93', 'pi_94', 'pi_95', 'pi_96', 'pi_97', 'pi_98', 'pi_99', 'pi_100', 'pi_101', 'pi_102', 'pi_103', 'pi_104', 'pi_105', 'pi_106', 'pi_107', 'pi_108', 'pi_109', 'pi_110', 'pi_111', 'pi_112', 'pi_113', 'pi_114', 'pi_115', 'pi_116', 'pi_117', 'pi_118', 'pi_119', 'pi_120', 'pi_121', 'pi_122', 'pi_123', 'pi_124', 'pi_125', 'pi_126', 'pi_127', 'pi_128', 'pi_129', 'pi_130', 'pi_131', 'pi_132', 'pi_133', 'pi_134', 'pi_135', 'pi_136', 'pi_137', 'pi_138', 'pi_139', 'pi_140', 'pi_141', 'pi_142', 'pi_143', 'pi_144', 'pi_145', 'pi_146', 'pi_147', 'pi_148', 'pi_149', 'pi_150', 'pi_151', 'pi_152', 'pi_153', 'pi_154', 'pi_155', 'pi_156', 'pi_157', 'pi_158', 'pi_159', 'pi_160', 'pi_161', 'pi_162', 'pi_163', 'pi_164', 'pi_165', 'pi_166', 'pi_167', 'pi_168', 'pi_169', 'pi_170', 'pi_171', 'pi_172', 'pi_173', 'pi_174', 'pi_175', 'pi_176', 'pi_177', 'pi_178', 'pi_179', 'pi_180', 'pi_181', 'pi_182', 'pi_183', 'pi_184', 'pi_185', 'pi_186', 'pi_187', 'pi_188', 'pi_189', 'pi_190', 'pi_191', 'pi_192', 'pi_193', 'pi_194', 'pi_195', 'pi_196', 'pi_197', 'pi_198', 'pi_199', 'pi_200', 'pi_201', 'pi_202', 'pi_203', 'pi_204', 'pi_205', 'pi_206', 'pi_207', 'pi_208', 'pi_209', 'pi_210', 'pi_211', 'pi_212', 'pi_213', 'pi_214', 'pi_215', 'pi_216', 'pi_217', 'pi_218', 'pi_219', 'pi_220', 'pi_221', 'pi_222', 'pi_223', 'pi_224', 'pi_225', 'pi_226', 'pi_227', 'pi_228', 'pi_229', 'pi_230', 'pi_231', 'pi_232', 'pi_233', 'pi_234', 'pi_235', 'pi_236', 'pi_237', 'pi_238', 'pi_239', 'pi_240', 'pi_241', 'pi_242', 'pi_243', 'pi_244', 'pi_245', 'pi_246', 'pi_247', 'pi_248', 'pi_249', 'pi_250', 'pi_251', 'pi_252', 'pi_253', 'pi_254', 'pi_255', 'pi_256', 'pi_257', 'pi_258', 'pi_259', 'pi_260', 'pi_261', 'pi_262', 'pi_263', 'pi_264', 'pi_265', 'pi_266', 'pi_267', 'pi_268', 'pi_269', 'pi_270', 'pi_271', 'pi_272', 'pi_273', 'pi_274', 'pi_275', 'pi_276', 'pi_277', 'pi_278', 'pi_279', 'pi_280', 'pi_281', 'pi_282', 'pi_283', 'pi_284', 'pi_285', 'pi_286', 'pi_287', 'pi_288', 'pi_289', 'pi_290', 'pi_291', 'pi_292', 'pi_293', 'pi_294', 'pi_295', 'pi_296', 'pi_297', 'pi_298', 'pi_299', 'pi_300']
Comparisons (150):
  (pi_1, pi_2, ?) [incomparable]
  (pi_3, pi_4, ?) [incomparable]
  (pi_5, pi_6, ?) [incomparable]
  (pi_7, pi_8, ?) [incomparable]
  (pi_9, pi_10, ?) [incomparable]
  (pi_11, pi_12, ?) [incomparable]
  (pi_13, pi_14, ?) [incomparable]
  (pi_15, pi_16, ?) [incomparable]
  (pi_17, pi_18, ?) [incomparable]
  (pi_19, pi_20, ?) [incomparable]
  (pi_21, pi_22, ?) [incomparable]
  (pi_23, pi_24, ?) [incomparable]
  (pi_25, pi_26, ?) [incomparable]
  (pi_27, pi_28, ?) [incomparable]
  (pi_29, pi_30, ?) [incomparable]
  (pi_31, pi_32, ?) [incomparable]
  (pi_33, pi_34, ?) [incomparable]
  (pi_35, pi_36, ?) [incomparable]
  (pi_37, pi_38, ?) [incomparable]
  (pi_39, pi_40, ?) [incomparable]
  (pi_41, pi_42, ?) [incomparable]
  (pi_43, pi_44, ?) [incomparable]
  (pi_45, pi_46, ?) [incomparable]
  (pi_47, pi_48, ?) [incomparable]
  (pi_49, pi_50, ?) [incomparable]
  (pi_51, pi_52, ?) [incomparable]
  (pi_53, pi_54, ?) [incomparable]
  (pi_55, pi_56, ?) [incomparable]
  (pi_57, pi_58, ?) [incomparable]
  (pi_59, pi_60, ?) [incomparable]
  (pi_61, pi_62, ?) [incomparable]
  (pi_63, pi_64, ?) [incomparable]
  (pi_65, pi_66, ?) [incomparable]
  (pi_67, pi_68, ?) [incomparable]
  (pi_69, pi_70, ?) [incomparable]
  (pi_71, pi_72, ?) [incomparable]
  (pi_73, pi_74, ?) [incomparable]
  (pi_75, pi_76, ?) [incomparable]
  (pi_77, pi_78, ?) [incomparable]
  (pi_79, pi_80, ?) [incomparable]
  (pi_81, pi_82, ?) [incomparable]
  (pi_83, pi_84, ?) [incomparable]
  (pi_85, pi_86, ?) [incomparable]
  (pi_87, pi_88, ?) [incomparable]
  (pi_89, pi_90, ?) [incomparable]
  (pi_91, pi_92, ?) [incomparable]
  (pi_93, pi_94, ?) [incomparable]
  (pi_95, pi_96, ?) [incomparable]
  (pi_97, pi_98, ?) [incomparable]
  (pi_99, pi_100, ?) [incomparable]
  (pi_101, pi_102, ?) [incomparable]
  (pi_103, pi_104, ?) [incomparable]
  (pi_105, pi_106, ?) [incomparable]
  (pi_107, pi_108, ?) [incomparable]
  (pi_109, pi_110, ?) [incomparable]
  (pi_111, pi_112, ?) [incomparable]
  (pi_113, pi_114, ?) [incomparable]
  (pi_115, pi_116, ?) [incomparable]
  (pi_117, pi_118, ?) [incomparable]
  (pi_119, pi_120, ?) [incomparable]
  (pi_121, pi_122, ?) [incomparable]
  (pi_123, pi_124, ?) [incomparable]
  (pi_125, pi_126, ?) [incomparable]
  (pi_127, pi_128, ?) [incomparable]
  (pi_129, pi_130, ?) [incomparable]
  (pi_131, pi_132, ?) [incomparable]
  (pi_133, pi_134, ?) [incomparable]
  (pi_135, pi_136, ?) [incomparable]
  (pi_137, pi_138, ?) [incomparable]
  (pi_139, pi_140, ?) [incomparable]
  (pi_141, pi_142, ?) [incomparable]
  (pi_143, pi_144, ?) [incomparable]
  (pi_145, pi_146, ?) [incomparable]
  (pi_147, pi_148, ?) [incomparable]
  (pi_149, pi_150, ?) [incomparable]
  (pi_151, pi_152, ?) [incomparable]
  (pi_153, pi_154, ?) [incomparable]
  (pi_155, pi_156, ?) [incomparable]
  (pi_157, pi_158, ?) [incomparable]
  (pi_159, pi_160, ?) [incomparable]
  (pi_161, pi_162, ?) [incomparable]
  (pi_163, pi_164, ?) [incomparable]
  (pi_165, pi_166, ?) [incomparable]
  (pi_167, pi_168, ?) [incomparable]
  (pi_169, pi_170, ?) [incomparable]
  (pi_171, pi_172, ?) [incomparable]
  (pi_173, pi_174, ?) [incomparable]
  (pi_175, pi_176, ?) [incomparable]
  (pi_177, pi_178, ?) [incomparable]
  (pi_179, pi_180, ?) [incomparable]
  (pi_181, pi_182, ?) [incomparable]
  (pi_183, pi_184, ?) [incomparable]
  (pi_185, pi_186, ?) [incomparable]
  (pi_187, pi_188, ?) [incomparable]
  (pi_189, pi_190, ?) [incomparable]
  (pi_191, pi_192, ?) [incomparable]
  (pi_193, pi_194, ?) [incomparable]
  (pi_195, pi_196, ?) [incomparable]
  (pi_197, pi_198, ?) [incomparable]
  (pi_199, pi_200, ?) [incomparable]
  (pi_201, pi_202, ?) [incomparable]
  (pi_203, pi_204, ?) [incomparable]
  (pi_205, pi_206, ?) [incomparable]
  (pi_207, pi_208, ?) [incomparable]
  (pi_209, pi_210, ?) [incomparable]
  (pi_211, pi_212, ?) [incomparable]
  (pi_213, pi_214, ?) [incomparable]
  (pi_215, pi_216, ?) [incomparable]
  (pi_217, pi_218, ?) [incomparable]
  (pi_219, pi_220, ?) [incomparable]
  (pi_221, pi_222, ?) [incomparable]
  (pi_223, pi_224, ?) [incomparable]
  (pi_225, pi_226, ?) [incomparable]
  (pi_227, pi_228, ?) [incomparable]
